tweet_id,user_posted,content,date_posted,photos,tweet_url,tagged_users,replies,reposts,likes,views,hashtags
1864283410807525600,IanMalcolm84,"@elonmusk I want NOTHING to do with this dystopian hellscape and, instead, want to return to the beauty of the past; a time when man was aligned not with technology, vanity, & greed, but with nature & God

H/T @TheRightQTA",2024-12-04 12:19:36+00:00,[],https://x.com/IanMalcolm84/status/1864283410807525759,"['https://x.com/elonmusk', 'https://x.com/TheRightQTA']",224,303,5701,150750,[]
1865484439532277800,IanMalcolm84,"HAPPY BIRTHDAY to one of the bravest advocates in the ""JQ"" 

@DanBilzerian thank you for all you've done and continue to do!",2024-12-07 19:52:04+00:00,[],https://x.com/IanMalcolm84/status/1865484439532277883,['https://x.com/DanBilzerian'],58,449,7041,87165,[]
1877762712400204300,IanMalcolm84,"JEWS are:

🔴 0.001% of El Salvadorans
🔴 0.4% of Argentinians
🔴 0.03% of Mexicans
🔴 0.2% of Venezuelans
🔴 0.3% of Panamanians
🔴 0.4% of English
🔴 0.08% of Ukrainians

And yet, they're ALL run by JEWS. Why?

H/T @Norambu3na",2025-01-10 17:01:32+00:00,[],https://x.com/IanMalcolm84/status/1877762712400204202,['https://x.com/Norambu3na'],574,3957,17984,776351,[]
1868821371167580400,IanMalcolm84,"What do you make of this quote?

H/T @s0ikk3li",2024-12-17 00:51:50+00:00,['https://pbs.twimg.com/media/Ge9jIf7WkAAZxs6.jpg'],https://x.com/IanMalcolm84/status/1868821371167580396,['https://x.com/s0ikk3li'],491,1607,6208,454872,[]
1868090429113254100,IanMalcolm84,"Feminism isn't pushed because it's righteous, but rather, because it destroys that which is.

Is it JEWS who push it?",2024-12-15 00:27:20+00:00,['https://pbs.twimg.com/media/GezKV_LXMAAcwYv.jpg'],https://x.com/IanMalcolm84/status/1868090429113254148,[],298,289,4282,205331,[]
1858873095219532300,IanMalcolm84,"Did the founding fathers PROHIBIT JEWS from holding office? Does the 1826 ""Jew Bill"" not make it clear they did?",2024-11-19 14:00:56+00:00,['https://pbs.twimg.com/media/GcwLOlAWoAAhta1.jpg'],https://x.com/IanMalcolm84/status/1858873095219532241,[],204,1689,7782,367775,[]
1862709566556758000,IanMalcolm84,"The woman on the right, @heidiklum, was once considered one of the most beautiful women on earth

How would most describe her mixed children?

Are they ""beautiful""?",2024-11-30 04:05:42+00:00,['https://pbs.twimg.com/media/GdmseljXgAAAAuQ.jpg'],https://x.com/IanMalcolm84/status/1862709566556758075,['https://x.com/heidiklum'],725,249,3948,407681,[]
1862306773987742200,IanMalcolm84,"Well @CommunityNotes REMOVED their label because we've demonstrated that John Wilkes Booth WAS Jewish 

Perhaps this happened as, not only did his children write in their memoirs that they were Jewish but even AI agreed with me that Booth's grandparents were JEWISH",2024-11-29 01:25:09+00:00,['https://pbs.twimg.com/media/Gdg-I8pWYAA2g8e.jpg'],https://x.com/IanMalcolm84/status/1862306773987742081,['https://x.com/CommunityNotes'],179,1068,4885,172873,[]
1859817083200209000,IanMalcolm84,"How do accounts like @angei502527511 make any sense?

How can this individual be following 2000+ accounts and have 33.8k posts with ONE follower?

I believe this a bot being constructed, by AI and is representative of the future of X",2024-11-22 04:32:01+00:00,['https://pbs.twimg.com/media/Gc9lx4yXAAAEFMo.jpg'],https://x.com/IanMalcolm84/status/1859817083200208991,['https://x.com/angei502527511'],8,8,199,47287,[]
1861907865939689500,IanMalcolm84,"Did you know: John Wilkes Booth was JEWISH?

What did Lincoln do shortly before the assassination? Who, disproportionately, owned the slaves in America?

Source : @kanarymine2",2024-11-27 23:00:02+00:00,['https://pbs.twimg.com/media/GdbTUybWYAAu_e-.jpg'],https://x.com/IanMalcolm84/status/1861907865939689546,['https://x.com/kanarymine2'],645,2336,12284,1185068,[]
1857663553907446300,IanMalcolm84,"🥊 #PaulTyson is a PERFECT microcosm of our times.  

Anchored in nostalgia, hyped by modernity, and, in the end, shallow, hollow, degenerate, demoralizing, devoid of soul, & both profiting and glorifying the worst elements of society",2024-11-16 05:54:39+00:00,[],https://x.com/IanMalcolm84/status/1857663553907446228,[],300,1147,9794,1151180,['PaulTyson']
1856017985829245000,IanMalcolm84,"Is this image shared by @The_Xyz15 true?

Has science been HIDING something about the black community or is this outlandish?",2024-11-11 16:55:45+00:00,['https://pbs.twimg.com/media/GcHmBiIWMAAqF9C.jpg'],https://x.com/IanMalcolm84/status/1856017985829245012,['https://x.com/The_Xyz15'],516,1119,9292,843624,[]
1856906695059951900,IanMalcolm84,"So doxing people is prohibited in @X's TOS but the @adl is allowed to run an entire hit piece, including publicly doxing @TheOfficial1984 ?

What insane bullsh@t is this @elonmusk ?

How are these brazen double standards tolerated?

@Support",2024-11-14 03:47:10+00:00,[],https://x.com/IanMalcolm84/status/1856906695059951794,"['https://x.com/X', 'https://x.com/ADL', 'https://x.com/TheOfficial1984', 'https://x.com/elonmusk', 'https://x.com/Support']",177,867,4776,166316,[]
1856151245762838800,IanMalcolm84,"So @realDonaldTrump just selected @marcorubio , one of the most heavily @aipac funded politicians in Washington, to Secretary of State

Is this America first? 
Is Rubio owned by JEWS?",2024-11-12 01:45:17+00:00,['https://pbs.twimg.com/media/GcJfuKKWgAA467-.jpg'],https://x.com/IanMalcolm84/status/1856151245762838712,"['https://x.com/realDonaldTrump', 'https://x.com/marcorubio', 'https://x.com/AIPAC']",458,1314,4497,94216,[]
1853124926384791800,IanMalcolm84,"Because a black man angrily spammed my DM on IQ, a few facts:

⚫️ American black IQ is ~80
⚫️ American whites is ~105
⚫️ Sub-Saharan blacks are ~65
⚫️ Legal retardation is 70-75
⚫️ ~35% of American blacks BELOW that
⚫️ Cleopatra & the Egyptians NOT black",2024-11-03 17:19:46+00:00,['https://pbs.twimg.com/media/GbefS9ZbQAA5wRj.jpg'],https://x.com/IanMalcolm84/status/1853124926384791906,[],499,1758,15754,1220112,[]
1854264973977100500,IanMalcolm84,"@DrLoupis Is this the beginning of the end for the absurd Israeli and Jewish dominance of the west and their aggression with the Middle East?

Is it time to deny Israel endless allowances for their genocide of the Palestinians?",2024-11-06 20:49:55+00:00,[],https://x.com/IanMalcolm84/status/1854264973977100522,['https://x.com/DrLoupis'],170,345,6176,433301,[]
1852736769843749400,IanMalcolm84,"@elonmusk If so, why do so many JEWS write books hating on whites? 

Why is THIS hateful bullsh@t tolerated?",2024-11-02 15:37:22+00:00,['https://pbs.twimg.com/media/GbY-RNkagAAYh3D.jpg'],https://x.com/IanMalcolm84/status/1852736769843749273,['https://x.com/elonmusk'],305,518,5000,284716,[]
